id,supplier,item,description,cost,status,date,product_key_manual,supplier_norm,text_norm,text_norm_compact,matched_key,product_id,product_name,vendor_name,confidence,method
REQ48974,Tanium Inc,CrowdStrike Falcon + Wiz Cl0ud + TaniumMgmt,"Annual renewal and capacity expansion of CrowdStrike EDR for EMEA teams is required to maintain defensive posture. This transaction via Tanium Inc also bundles Tanium Endpoint licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q4 following testing in staging environments.",54120.62,PENDING,08/03/2024,,tanium inc,"tanium inc crowdstrike falcon + wiz cl0ud + taniummgmt annual renewal and capacity expansion of crowdstrike edr for emea teams is required to maintain defensive posture. this transaction via tanium inc also bundles tanium endpoint licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q4 following testing in staging environments.","taniuminccrowdstrikefalcon+wizcl0ud+taniummgmtannualrenewalandcapacityexpansionofcrowdstrikeedrforemeateamsisrequiredtomaintaindefensiveposture.thistransactionviataniumincalsobundlestaniumendpointlicenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq4followingtestinginstagingenvironments.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ48175,CrowdStrike Inc,Firepower 2K series + CS Falcon,"Annual renewal and capacity expansion of Cisco FP2K for EMEA teams is required to maintain defensive posture. This transaction via CrowdStrike Inc also bundles MS 365 E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",352978.84,ORDERED,26/05/2023,,crowdstrike inc,"crowdstrike inc firepower 2k series + cs falcon annual renewal and capacity expansion of cisco fp2k for emea teams is required to maintain defensive posture. this transaction via crowdstrike inc also bundles ms 365 e5 licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q1 following testing in staging environments.","crowdstrikeincfirepower2kseries+csfalconannualrenewalandcapacityexpansionofciscofp2kforemeateamsisrequiredtomaintaindefensiveposture.thistransactionviacrowdstrikeincalsobundlesms365e5licenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq1followingtestinginstagingenvironments.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,high,keyword+vendor
REQ19359,Wiz Inc,Tanium Endpoint + CS Falcon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via Wiz Inc, will complement our existing deployment of Zscaler Internet Access and ensure coverage for 2217 users in Americas. Budget reallocation approved by the CISO on 2024-04-05.",222380.96,ORDERED,14/09/2024,,wiz inc,"wiz inc tanium endpoint + cs falcon in response to recent threat intelligence reports, it security has recommended immediate onboarding of tanium. this purchase, processed via wiz inc, will complement our existing deployment of zscaler internet access and ensure coverage for 2217 users in americas. budget reallocation approved by the ciso on 2024-04-05.","wizinctaniumendpoint+csfalconinresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingoftanium.thispurchase,processedviawizinc,willcomplementourexistingdeploymentofzscalerinternetaccessandensurecoveragefor2217usersinamericas.budgetreallocationapprovedbythecisoon20240405.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ42816,CC,Tanium + M i c r o s o f t 3 6 5 E5,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of TaniumMgmt. This purchase, processed via CC, will complement our existing deployment of Wiz Cl0ud and ensure coverage for 2280 users in Americas. Budget reallocation approved by the CISO on 2023-03-23.",295625.85,DRAFT,05/07/2024,,cc,"cc tanium + m i c r o s o f t 3 6 5 e5 in response to recent threat intelligence reports, it security has recommended immediate onboarding of taniummgmt. this purchase, processed via cc, will complement our existing deployment of wiz cl0ud and ensure coverage for 2280 users in americas. budget reallocation approved by the ciso on 2023-03-23.","cctanium+microsoft365e5inresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingoftaniummgmt.thispurchase,processedviacc,willcomplementourexistingdeploymentofwizcl0udandensurecoveragefor2280usersinamericas.budgetreallocationapprovedbythecisoon20230323.",,,,,low,fallback
REQ55607,Microsoft Corp,Wiz Defnd + Cisco Firepower 2000 Series + Zscaler Internet Access,"Following the results of our latest vulnerability assessment, we are initiating the procurement of WizDefnd to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Zscaler IA to enhance layered security and comply with internal audit requirements.",168252.81,ORDERED,13/08/2024,,microsoft corp,"microsoft corp wiz defnd + cisco firepower 2000 series + zscaler internet access following the results of our latest vulnerability assessment, we are initiating the procurement of wizdefnd to replace outdated solutions currently deployed across apac operations. this request, coordinated via microsoft corp, is part of our broader cyber resilience program. additionally, this order includes partial licensing for zscaler ia to enhance layered security and comply with internal audit requirements.","microsoftcorpwizdefnd+ciscofirepower2000series+zscalerinternetaccessfollowingtheresultsofourlatestvulnerabilityassessment,weareinitiatingtheprocurementofwizdefndtoreplaceoutdatedsolutionscurrentlydeployedacrossapacoperations.thisrequest,coordinatedviamicrosoftcorp,ispartofourbroadercyberresilienceprogram.additionally,thisorderincludespartiallicensingforzscaleriatoenhancelayeredsecurityandcomplywithinternalauditrequirements.",firepower 2000,PROD003,Cisco Firepower 2000 Series,Cisco,medium,keyword
REQ10150,CC,Tanium + Wiz Cl0ud + O365 E5,"Annual renewal and capacity expansion of TaniumMgmt for EMEA teams is required to maintain defensive posture. This transaction via CC also bundles Cisco Firepower 2000 Series licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",313203.77,ORDERED,24/06/2025,,cc,"cc tanium + wiz cl0ud + o365 e5 annual renewal and capacity expansion of taniummgmt for emea teams is required to maintain defensive posture. this transaction via cc also bundles cisco firepower 2000 series licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q3 following testing in staging environments.","cctanium+wizcl0ud+o365e5annualrenewalandcapacityexpansionoftaniummgmtforemeateamsisrequiredtomaintaindefensiveposture.thistransactionviaccalsobundlesciscofirepower2000serieslicenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq3followingtestinginstagingenvironments.",firepower 2000,PROD003,Cisco Firepower 2000 Series,Cisco,medium,keyword
REQ30758,Microsoft Corp,Z$caler IA + WizDefnd + Microsoft E5,"As part of our cloud security strategy, the acquisition of Zscaler Internet Access is being processed via Microsoft Corp. This initiative includes additional modules for Microsoft E5, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",116226.83,DRAFT,03/08/2025,,microsoft corp,"microsoft corp z$caler ia + wizdefnd + microsoft e5 as part of our cloud security strategy, the acquisition of zscaler internet access is being processed via microsoft corp. this initiative includes additional modules for microsoft e5, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","microsoftcorpz$caleria+wizdefnd+microsofte5aspartofourcloudsecuritystrategy,theacquisitionofzscalerinternetaccessisbeingprocessedviamicrosoftcorp.thisinitiativeincludesadditionalmodulesformicrosofte5,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",zscaler internet access,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ82255,Cisco Systems,Microsft 365 E5 + Wiz Defnd,"Procurement of MS 365 E5 is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with WizDefnd to improve overall coverage in Americas.",256579.24,PENDING,23/05/2023,,cisco systems,"cisco systems microsft 365 e5 + wiz defnd procurement of ms 365 e5 is being prioritised under the fy25 budget allocation for security enhancements. the acquisition, handled through cisco systems, addresses critical gaps identified in the last compliance audit. the package will also integrate with wizdefnd to improve overall coverage in americas.","ciscosystemsmicrosft365e5+wizdefndprocurementofms365e5isbeingprioritisedunderthefy25budgetallocationforsecurityenhancements.theacquisition,handledthroughciscosystems,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithwizdefndtoimproveoverallcoverageinamericas.",,,,,low,fallback
REQ68529,CC,Cisco FP2K + WizCld + Zscaler IA,"Annual renewal and capacity expansion of Cisco FP-2100 for Americas teams is required to maintain defensive posture. This transaction via CC also bundles TaniumMgmt licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",435452.83,PENDING,23/02/2025,,cc,"cc cisco fp2k + wizcld + zscaler ia annual renewal and capacity expansion of cisco fp-2100 for americas teams is required to maintain defensive posture. this transaction via cc also bundles taniummgmt licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q3 following testing in staging environments.","ccciscofp2k+wizcld+zscaleriaannualrenewalandcapacityexpansionofciscofp2100foramericasteamsisrequiredtomaintaindefensiveposture.thistransactionviaccalsobundlestaniummgmtlicenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq3followingtestinginstagingenvironments.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ14852,CC,CS Falcon + Tanium,"Procurement of CrowdStrike EDR is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CC, addresses critical gaps identified in the last compliance audit. The package will also integrate with Z$caler IA to improve overall coverage in APAC.",437724.24,ORDERED,24/07/2023,,cc,"cc cs falcon + tanium procurement of crowdstrike edr is being prioritised under the fy25 budget allocation for security enhancements. the acquisition, handled through cc, addresses critical gaps identified in the last compliance audit. the package will also integrate with z$caler ia to improve overall coverage in apac.","cccsfalcon+taniumprocurementofcrowdstrikeedrisbeingprioritisedunderthefy25budgetallocationforsecurityenhancements.theacquisition,handledthroughcc,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithz$caleriatoimproveoverallcoverageinapac.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ62098,WWT,Wiz Defnd + Cisco FP2K,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Wiz Defnd. This purchase, processed via WWT, will complement our existing deployment of WizCld and ensure coverage for 175 users in Americas. Budget reallocation approved by the CISO on 2023-06-03.",477299.1,ORDERED,15/03/2023,,wwt,"wwt wiz defnd + cisco fp2k in response to recent threat intelligence reports, it security has recommended immediate onboarding of wiz defnd. this purchase, processed via wwt, will complement our existing deployment of wizcld and ensure coverage for 175 users in americas. budget reallocation approved by the ciso on 2023-06-03.","wwtwizdefnd+ciscofp2kinresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingofwizdefnd.thispurchase,processedviawwt,willcomplementourexistingdeploymentofwizcldandensurecoveragefor175usersinamericas.budgetreallocationapprovedbythecisoon20230603.",,,,,low,fallback
REQ49251,CrowdStrike Inc,WizDefnd + Microsoft E5,"Annual renewal and capacity expansion of Wiz Defend for Americas teams is required to maintain defensive posture. This transaction via CrowdStrike Inc also bundles Microsoft E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",150217.05,CANCELLED,01/06/2025,,crowdstrike inc,"crowdstrike inc wizdefnd + microsoft e5 annual renewal and capacity expansion of wiz defend for americas teams is required to maintain defensive posture. this transaction via crowdstrike inc also bundles microsoft e5 licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q1 following testing in staging environments.","crowdstrikeincwizdefnd+microsofte5annualrenewalandcapacityexpansionofwizdefendforamericasteamsisrequiredtomaintaindefensiveposture.thistransactionviacrowdstrikeincalsobundlesmicrosofte5licenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq1followingtestinginstagingenvironments.",wiz defend,PROD005,Wiz Defend,Wiz,medium,keyword
REQ75230,Wiz Inc,CrowdStrike EDR + Firepower 2K series,"As part of our cloud security strategy, the acquisition of Crowdstrik Flacon is being processed via Wiz Inc. This initiative includes additional modules for Tanium Endpoint, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",232487.4,DRAFT,10/08/2025,,wiz inc,"wiz inc crowdstrike edr + firepower 2k series as part of our cloud security strategy, the acquisition of crowdstrik flacon is being processed via wiz inc. this initiative includes additional modules for tanium endpoint, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","wizinccrowdstrikeedr+firepower2kseriesaspartofourcloudsecuritystrategy,theacquisitionofcrowdstrikflaconisbeingprocessedviawizinc.thisinitiativeincludesadditionalmodulesfortaniumendpoint,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",,,,,low,fallback
REQ36111,Cisco Systems,Cisco FP-2100 + WizDefnd + M i c r o s o f t 3 6 5 E5,"Annual renewal and capacity expansion of Firepower 2K series for APAC teams is required to maintain defensive posture. This transaction via Cisco Systems also bundles Zscaler IA licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",182684.78,CANCELLED,27/08/2024,,cisco systems,"cisco systems cisco fp-2100 + wizdefnd + m i c r o s o f t 3 6 5 e5 annual renewal and capacity expansion of firepower 2k series for apac teams is required to maintain defensive posture. this transaction via cisco systems also bundles zscaler ia licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q3 following testing in staging environments.","ciscosystemsciscofp2100+wizdefnd+microsoft365e5annualrenewalandcapacityexpansionoffirepower2kseriesforapacteamsisrequiredtomaintaindefensiveposture.thistransactionviaciscosystemsalsobundleszscalerialicenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq3followingtestinginstagingenvironments.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ91381,CC,Microsoft E5 + Z$caler IA + Cisco Firepower 2000 Series,"Procurement of Microsft 365 E5 is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CC, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in EMEA.",157921.78,ORDERED,10/03/2023,,cc,"cc microsoft e5 + z$caler ia + cisco firepower 2000 series procurement of microsft 365 e5 is being prioritised under the fy25 budget allocation for security enhancements. the acquisition, handled through cc, addresses critical gaps identified in the last compliance audit. the package will also integrate with firepower 2k series to improve overall coverage in emea.","ccmicrosofte5+z$caleria+ciscofirepower2000seriesprocurementofmicrosft365e5isbeingprioritisedunderthefy25budgetallocationforsecurityenhancements.theacquisition,handledthroughcc,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithfirepower2kseriestoimproveoverallcoverageinemea.",firepower 2000,PROD003,Cisco Firepower 2000 Series,Cisco,medium,keyword
REQ79579,Zscaler Inc,WizDefnd + CS Falcon + Firepower 2K series,"As part of our cloud security strategy, the acquisition of WizDefnd is being processed via Zscaler Inc. This initiative includes additional modules for Crowdstrik Flacon, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",403095.11,ORDERED,04/06/2023,,zscaler inc,"zscaler inc wizdefnd + cs falcon + firepower 2k series as part of our cloud security strategy, the acquisition of wizdefnd is being processed via zscaler inc. this initiative includes additional modules for crowdstrik flacon, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","zscalerincwizdefnd+csfalcon+firepower2kseriesaspartofourcloudsecuritystrategy,theacquisitionofwizdefndisbeingprocessedviazscalerinc.thisinitiativeincludesadditionalmodulesforcrowdstrikflacon,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ58311,Wiz Inc,CS Falcon + Tanium + Wiz Defnd,"Following the results of our latest vulnerability assessment, we are initiating the procurement of CrowdStrike EDR to replace outdated solutions currently deployed across Americas operations. This request, coordinated via Wiz Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Wiz Cl0ud to enhance layered security and comply with internal audit requirements.",120741.84,DRAFT,02/11/2024,,wiz inc,"wiz inc cs falcon + tanium + wiz defnd following the results of our latest vulnerability assessment, we are initiating the procurement of crowdstrike edr to replace outdated solutions currently deployed across americas operations. this request, coordinated via wiz inc, is part of our broader cyber resilience program. additionally, this order includes partial licensing for wiz cl0ud to enhance layered security and comply with internal audit requirements.","wizinccsfalcon+tanium+wizdefndfollowingtheresultsofourlatestvulnerabilityassessment,weareinitiatingtheprocurementofcrowdstrikeedrtoreplaceoutdatedsolutionscurrentlydeployedacrossamericasoperations.thisrequest,coordinatedviawizinc,ispartofourbroadercyberresilienceprogram.additionally,thisorderincludespartiallicensingforwizcl0udtoenhancelayeredsecurityandcomplywithinternalauditrequirements.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ49893,Wiz Inc,Wiz Defend + M i c r o s o f t 3 6 5 E5 + Zscaler Internet Access,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Wiz Defend to replace outdated solutions currently deployed across Americas operations. This request, coordinated via Wiz Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Microsft 365 E5 to enhance layered security and comply with internal audit requirements.",197379.69,CANCELLED,08/05/2025,,wiz inc,"wiz inc wiz defend + m i c r o s o f t 3 6 5 e5 + zscaler internet access following the results of our latest vulnerability assessment, we are initiating the procurement of wiz defend to replace outdated solutions currently deployed across americas operations. this request, coordinated via wiz inc, is part of our broader cyber resilience program. additionally, this order includes partial licensing for microsft 365 e5 to enhance layered security and comply with internal audit requirements.","wizincwizdefend+microsoft365e5+zscalerinternetaccessfollowingtheresultsofourlatestvulnerabilityassessment,weareinitiatingtheprocurementofwizdefendtoreplaceoutdatedsolutionscurrentlydeployedacrossamericasoperations.thisrequest,coordinatedviawizinc,ispartofourbroadercyberresilienceprogram.additionally,thisorderincludespartiallicensingformicrosft365e5toenhancelayeredsecurityandcomplywithinternalauditrequirements.",zscaler internet access,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ68287,Cisco Systems,Wiz Defend + Firepower 2K series,"Procurement of WizDefnd is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in Americas.",274510.6,CANCELLED,05/05/2023,,cisco systems,"cisco systems wiz defend + firepower 2k series procurement of wizdefnd is being prioritised under the fy24 budget allocation for security enhancements. the acquisition, handled through cisco systems, addresses critical gaps identified in the last compliance audit. the package will also integrate with o365 e5 to improve overall coverage in americas.","ciscosystemswizdefend+firepower2kseriesprocurementofwizdefndisbeingprioritisedunderthefy24budgetallocationforsecurityenhancements.theacquisition,handledthroughciscosystems,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewitho365e5toimproveoverallcoverageinamericas.",wiz defend,PROD005,Wiz Defend,Wiz,medium,keyword
REQ84000,Tanium Inc,Wiz Cl0ud + Microsft 365 E5,"Procurement of Wiz Cloud is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through Tanium Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in EMEA.",295259.63,PENDING,03/11/2024,,tanium inc,"tanium inc wiz cl0ud + microsft 365 e5 procurement of wiz cloud is being prioritised under the fy23 budget allocation for security enhancements. the acquisition, handled through tanium inc, addresses critical gaps identified in the last compliance audit. the package will also integrate with o365 e5 to improve overall coverage in emea.","taniumincwizcl0ud+microsft365e5procurementofwizcloudisbeingprioritisedunderthefy23budgetallocationforsecurityenhancements.theacquisition,handledthroughtaniuminc,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewitho365e5toimproveoverallcoverageinemea.",wiz cloud,PROD004,Wiz Cloud,Wiz,medium,keyword
REQ11947,Cisco Systems,Zscaler IA + CrowdStrike Falcon + Wiz Defend,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Zscaler Internet Access to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Cisco Systems, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for CrowdStrike Falcon to enhance layered security and comply with internal audit requirements.",136356.92,PENDING,12/05/2025,,cisco systems,"cisco systems zscaler ia + crowdstrike falcon + wiz defend following the results of our latest vulnerability assessment, we are initiating the procurement of zscaler internet access to replace outdated solutions currently deployed across emea operations. this request, coordinated via cisco systems, is part of our broader cyber resilience program. additionally, this order includes partial licensing for crowdstrike falcon to enhance layered security and comply with internal audit requirements.","ciscosystemszscaleria+crowdstrikefalcon+wizdefendfollowingtheresultsofourlatestvulnerabilityassessment,weareinitiatingtheprocurementofzscalerinternetaccesstoreplaceoutdatedsolutionscurrentlydeployedacrossemeaoperations.thisrequest,coordinatedviaciscosystems,ispartofourbroadercyberresilienceprogram.additionally,thisorderincludespartiallicensingforcrowdstrikefalcontoenhancelayeredsecurityandcomplywithinternalauditrequirements.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ96363,CrowdStrike Inc,Wiz Defend + WizCld + MS 365 E5,"As part of our cloud security strategy, the acquisition of Wiz Defend is being processed via CrowdStrike Inc. This initiative includes additional modules for Tanium, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",216005.44,DRAFT,01/10/2025,,crowdstrike inc,"crowdstrike inc wiz defend + wizcld + ms 365 e5 as part of our cloud security strategy, the acquisition of wiz defend is being processed via crowdstrike inc. this initiative includes additional modules for tanium, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","crowdstrikeincwizdefend+wizcld+ms365e5aspartofourcloudsecuritystrategy,theacquisitionofwizdefendisbeingprocessedviacrowdstrikeinc.thisinitiativeincludesadditionalmodulesfortanium,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",wiz defend,PROD005,Wiz Defend,Wiz,medium,keyword
REQ86724,WWT,TaniumMgmt + WizCld + WizDefnd,"As part of our cloud security strategy, the acquisition of TaniumMgmt is being processed via WWT. This initiative includes additional modules for CS Falcon, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",255247.78,ORDERED,23/07/2023,,wwt,"wwt taniummgmt + wizcld + wizdefnd as part of our cloud security strategy, the acquisition of taniummgmt is being processed via wwt. this initiative includes additional modules for cs falcon, supporting both emea and apac operations. justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.","wwttaniummgmt+wizcld+wizdefndaspartofourcloudsecuritystrategy,theacquisitionoftaniummgmtisbeingprocessedviawwt.thisinitiativeincludesadditionalmodulesforcsfalcon,supportingbothemeaandapacoperations.justificationforthisprocurementistiedtozerotrustarchitectureadoptionandenhancedincidentresponsereadiness.",falcon,PROD002,CrowdStrike Falcon Enterprise,CrowdStrike,medium,keyword
REQ64524,CrowdStrike Inc,Zscaler IA + Firepower 2K series,"Annual renewal and capacity expansion of Zscaler IA for Americas teams is required to maintain defensive posture. This transaction via CrowdStrike Inc also bundles WizCld licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q4 following testing in staging environments.",334228.39,CANCELLED,09/11/2023,,crowdstrike inc,"crowdstrike inc zscaler ia + firepower 2k series annual renewal and capacity expansion of zscaler ia for americas teams is required to maintain defensive posture. this transaction via crowdstrike inc also bundles wizcld licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q4 following testing in staging environments.","crowdstrikeinczscaleria+firepower2kseriesannualrenewalandcapacityexpansionofzscaleriaforamericasteamsisrequiredtomaintaindefensiveposture.thistransactionviacrowdstrikeincalsobundleswizcldlicenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq4followingtestinginstagingenvironments.",zscaler ia,PROD007,Zscaler Internet Access,Zscaler,medium,keyword
REQ82924,WWT,TaniumMgmt + Wiz Defnd,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via WWT, will complement our existing deployment of Z$caler IA and ensure coverage for 599 users in EMEA. Budget reallocation approved by the CISO on 2023-07-17.",168174.76,DRAFT,21/04/2025,,wwt,"wwt taniummgmt + wiz defnd in response to recent threat intelligence reports, it security has recommended immediate onboarding of tanium. this purchase, processed via wwt, will complement our existing deployment of z$caler ia and ensure coverage for 599 users in emea. budget reallocation approved by the ciso on 2023-07-17.","wwttaniummgmt+wizdefndinresponsetorecentthreatintelligencereports,itsecurityhasrecommendedimmediateonboardingoftanium.thispurchase,processedviawwt,willcomplementourexistingdeploymentofz$caleriaandensurecoveragefor599usersinemea.budgetreallocationapprovedbythecisoon20230717.",,,,,low,fallback
REQ24184,CC,Cisco Firepower 2000 Series + Tanium Endpoint + Wiz Cl0ud,"Annual renewal and capacity expansion of Cisco FP-2100 for APAC teams is required to maintain defensive posture. This transaction via CC also bundles Crowdstrik Flacon licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",116948.75,ORDERED,23/02/2023,,cc,"cc cisco firepower 2000 series + tanium endpoint + wiz cl0ud annual renewal and capacity expansion of cisco fp-2100 for apac teams is required to maintain defensive posture. this transaction via cc also bundles crowdstrik flacon licenses, ensuring integrated controls across multiple vectors. implementation will be handled in q1 following testing in staging environments.","ccciscofirepower2000series+taniumendpoint+wizcl0udannualrenewalandcapacityexpansionofciscofp2100forapacteamsisrequiredtomaintaindefensiveposture.thistransactionviaccalsobundlescrowdstrikflaconlicenses,ensuringintegratedcontrolsacrossmultiplevectors.implementationwillbehandledinq1followingtestinginstagingenvironments.",firepower 2000,PROD003,Cisco Firepower 2000 Series,Cisco,medium,keyword
REQ84228,Tanium Inc,Wiz Defnd + Microsoft E5 + CrowdStrike Falcon,"Procurement of Wiz Defend is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through Tanium Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with Cisco Firepower 2000 Series to improve overall coverage in EMEA.",374325.32,PENDING,09/02/2025,,tanium inc,"tanium inc wiz defnd + microsoft e5 + crowdstrike falcon procurement of wiz defend is being prioritised under the fy25 budget allocation for security enhancements. the acquisition, handled through tanium inc, addresses critical gaps identified in the last compliance audit. the package will also integrate with cisco firepower 2000 series to improve overall coverage in emea.","taniumincwizdefnd+microsofte5+crowdstrikefalconprocurementofwizdefendisbeingprioritisedunderthefy25budgetallocationforsecurityenhancements.theacquisition,handledthroughtaniuminc,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithciscofirepower2000seriestoimproveoverallcoverageinemea.",firepower 2000,PROD003,Cisco Firepower 2000 Series,Cisco,medium,keyword
REQ16522,WWT,WizCld + Cisco FP2K,"Procurement of Wiz Cl0ud is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with Microsft 365 E5 to improve overall coverage in EMEA.",245402.54,ORDERED,28/04/2025,,wwt,"wwt wizcld + cisco fp2k procurement of wiz cl0ud is being prioritised under the fy24 budget allocation for security enhancements. the acquisition, handled through wwt, addresses critical gaps identified in the last compliance audit. the package will also integrate with microsft 365 e5 to improve overall coverage in emea.","wwtwizcld+ciscofp2kprocurementofwizcl0udisbeingprioritisedunderthefy24budgetallocationforsecurityenhancements.theacquisition,handledthroughwwt,addressescriticalgapsidentifiedinthelastcomplianceaudit.thepackagewillalsointegratewithmicrosft365e5toimproveoverallcoverageinemea.",,,,,low,fallback
